Org District,Total Wards 2025,NDA - 2025 Result Wards,Target Wards,NDA - 2020 Wards,NDA 2025 Vote,2025 Vote Share,Target Vote Share,2024 Votes,2024 Vote Share,2020 Votes,2020 Vote Share
Alappuzha North,34,12,19,4,8875,28.92%,30.25,5802,22.10,6759,21.18
Ernakulam North,19,6,13,4,4486,23.03%,39.00,2879,16.10,4026,20.40
Kasaragod,52,21,31,18,15721,34.55%,44.93,16176,41.03,14608,33.25
Palakkad East,21,8,15,8,9075,38.99%,39.56,7923,37.00,8700,38.56
Pathanamthitta,42,17,28,11,9009,32.18%,39.00,7752,30.20,7234,24.06
Thiruvananthapuram North,22,7,12,3,5760,26.31%,39.00,3742,31.60,5089,23.75
Thiruvananthapuram South,20,6,12,6,7332,32.64%,39.00,6963,36.90,6957,32.07
Thrissur City,49,19,35,12,15022,31.93%,47.30,19485,46.30,14466,30.20
Grand Total,259,96,165,66,75280,31.65%,40.72,70723,34.56,67839,27.98
