Org District,Total Wards 2025,NDA - 2025 Result Wards,Target Wards,NDA - 2020 Wards,NDA 2025 Vote,2025 Vote Share,2024 Votes,2024 Vote Share,2020 Votes,2020 Vote Share
Ernakulam City,76,6,38,5,39408,14.41%,59672,17.82,28929,10.98
Kannur North,56,4,16,1,19219,14.06%,19799,19.30,15757,11.72
Kollam West,56,12,30,6,45286,22.48%,35648,23.02,44934,22.02
Kozhikode City,76,13,39,7,74552,22.43%,74975,23.31,73158,22.31
Thiruvananthapuram City,101,50,79,35,165252,34.52%,214761,40.90,147925,30.60
Thrissur City,56,8,29,6,31447,18.54%,82050,40.45,32340,18.80
Grand Total,421,93,231,60,375164,21.07%,486905,27.47,343043,19.41
