Org District,Total Wards 2025,NDA - 2025 Result Wards,Target Wards,NDA - 2020 Wards,NDA 2025 Vote,2025 Vote Share,2024 Votes,2024 Vote Share,2020 Votes,2020 Vote Share
Ernakulam North,26,4,18,2321,18.21%,18.21%,1825,16.30,1565,11.69
Thiruvananthapuram North,32,7,20,6573,28.90%,28.90%,9109,42.40,6511,28.28
Grand Total,58,11,38,8894,23.56%,47.11%,10934,29.35,8076,19.99
